打开脚灯,好的。 打开脚灯。,打开位置灯,,
加强周围环境的气味,好的。 将车内的香气调高。,打开车内香氛系统,,
驾驶时播放放松的声音,好的。 播放放松的声音。 播放舒缓的音乐。,播放舒缓音乐,,
我的背很累,如果您的背部很累，您可以在靠背上打开座椅按摩。,"打开主驾座椅按摩,打开副驾座椅按摩",,
关闭冷却器,是的，将空调置于通风模式。,"打开空调,设置空调风速1档,关闭自动调温模式,启动同步模式,打开空气循环模式为内循环",,
我想暖手,我打开了方向盘加热器,打开方向盘加热,,
去除挡风玻璃上的雾气,打开前除霜器。,打开前除霜器,,
除雾,打开前除霜器。,打开前除霜器,,
副驾驶座椅的腿部加热,打开辅助座椅上的腿部空间加热器。,设置副驾座椅加热模式1档,,
我想为我的智能手机充电,开始为您的手机充电。 打开USB端口的电源。,打开USB端口的电源,,
我想给手降温,好的。 打开方向盘冷却器。,"打开方向盘加热,关闭方向盘加热",,
将温度设置为放松的温度,设定成舒适的温度。 空调设定到23度。 请放松。,"打开空调,设置主驾空调温度为23度,设置副驾空调温度为23度,关闭自动调温模式,请放松。",,
我想取出行李,好的。 打开后备箱。,打开后备箱,,
肩膀僵硬,想缓解肩部的紧张感吧。请享受座椅按摩。,"打开主驾座椅按摩,关闭主驾座椅按摩",,
确认周围的车辆,好的。 确认周围的车辆。,"打开导航,关闭全部车窗,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾车窗方向为吹脸+吹脚,设置副驾车窗方向为吹脸+吹脚,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
我怕滑倒,你怕滑倒吗？ 车速调整以增强牵引力控制，因此即使您滑倒也可以安全驾驶。,增加车速调整以增强牵引力控制，此指令不符合给出的能力列表，所以不产生具体动作。空,,
打开侧面安全气囊,好的。 准备侧面安全气囊。,"打开主驾车门,展开左后视镜,展开右后视镜,导航",,
紧急制动支持,制动辅助打开。 我们将协助您安全驾驶。,"启动同步模式,关闭空调风扇,设置主驾出风口方向为除霜,设置副驾出风口方向为除霜,设置空气循环模式为内循环,打开氛围灯,设置氛围灯颜色为蓝色,打开导航",,
检查轮胎温度,检查轮胎温度。 切换到监控屏幕。,"切换到监控屏幕,检查轮胎温度",,
激活夜视功能,好的。 打开夜视摄像头。,打开夜视摄像头,,
请识别交通标志。,好的。 开启交通标志识别功能。,打开导航,,
防止错过标志,好的。 开启交通标志识别。,打开导航,,
当心危险区域,这个区域很危险，所以为了安全起见，请关上车窗并注意周围的环境。,关闭全部车窗,,
扩大后视镜的视野,调整后视镜的角度。 可以拓宽视野。,展开左后视镜，展开右后视镜,,
将大灯设置为自动,将大灯切换到自动模式,"打开远光灯,关闭远光灯,打开位置灯,关闭位置灯,打开近光灯,关闭近光灯",,
告诉我路况,好的。 监控当前路况。,打开导航,,
抑制方向盘的晃动,好的。 减少方向盘抖动并开启转向补偿。,"打开同步模式,关闭同步模式",,
启动自动泊车,我将自动泊车辅助设置为开启。 将开始检测泊车位置，请操作车辆。,"打开自动调温模式,关闭全部车窗,空调设置为制冷模式,空调风速调整为二档,设置氛围灯颜色为蓝色",,
注意前方的物体,打开前方障碍物传感器。,"启动同步模式,关闭同步模式",,
远离护栏,为避免接近护栏，我们启动了侧面的距离警告系统。,开启同步模式，关闭同步模式,,
提早打开刹车灯,好的。 提早打开刹车灯。,打开刹车灯,,
显示驾驶历史记录,好的。 驾驶历史记录显示在导航屏幕上。,打开导航,,
开车时要注意的事项,开启驾驶建议功能。 它提供车速和驾驶状态等信息，以确保安全驾驶。,"打开导航,启动同步模式,设置空调风速2档,设置主驾空调温度26度,设置副驾空调温度26度,关闭全部车窗,设置空气循环模式为内循环,打开驾驶建议功能",,
降低油耗,为了降低油耗，打开节能模式。,"启动同步模式,关闭空调风扇,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环,关闭氛围灯",,
切到回家模式,好的。 运行回家模式。,打开导航，设置空调风速1档，设置主驾空调温度26度，设置副驾空调温度26度，设置空气循环模式为内循环，打开自动调温模式，关闭全部车窗，打开PM2.5空气净化器，设置氛围灯颜色为蓝色，打开方向盘加热，设置主驾座椅自动通风加热，设置主驾座椅加热模式1档，设置副驾座椅加热模式1档，设置主驾座椅通风模式1档，设置副驾座椅通风模式1档，打开远光灯，前雨刷间歇摆动，展开左后视镜，展开右后视镜,,
获取有关附近旅游景点的信息,好的。 在导航屏幕上显示周围的观光信息。,打开导航,,
设定为夜间驾驶,我切换到夜间驾驶的设置。 仪表盘调暗，开启大灯。,关闭氛围灯，打开远光灯，设置空气循环模式为内循环,,
确认轮胎的转速,显示轮胎速度监视。 当前轮胎转速显示在仪表盘上。,打开轮胎速度监视器,,
获取充电站可用信息,好的。 充电站的可用性信息显示在导航屏幕上。,打开导航,,
与乘客分享路线信息,好的。 在乘客显示屏上显示路线信息。,"打开导航,在乘客显示屏上显示路线信息",,
将仪表盘设置为节能模式,好的。 将仪表盘设置为节能模式。,"设置空气循环模式为内循环,关闭同步模式,打开空调制热模式,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为黄色,设置空调风速2档",,
告诉我回家的路线,好的。 将 目的地设置为家。,打开导航，设置目的地为家。,,
显示到下一个信号的距离,好的。 到红绿灯的距离显示在导航屏幕上。,打开导航,,
记录停车位置,好的。 记录停车位置。,打开导航,,
确认发动机转速,在仪表上显示发动机转速。,"打开导航,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,前排调光玻璃调亮,播放舒缓音乐,显示发动机转速",,
确认何时该换机油,好的。 我们经确认了您的换机油时间。,"关闭全部车窗,设置主驾空调温度为26度,设置副驾空调温度为26度",,
我想知道完成充电的预计时间。,好的。 显示完成充电的预计时间。,关闭空调风扇，设置主驾座椅加热模式1档，设置副驾座椅加热模式1档，播放舒缓音乐，前排调光玻璃调暗，后排调光玻璃调暗,,
显示路线的整个地图,好的。 查看路线的完整地图。,打开导航,,
与乘客分享驾驶计划,是驾驶计划吗？ 路线信息显示在乘客显示屏上。,打开导航，启动同步模式,,
查看餐厅评论,好的。 在导航屏幕上显示餐厅评论。,"打开导航,播放流行音乐",,
我想知道到目的地的海拔高度差。,是海拔差异吗？ 根据数据，两者之间的海拔高度差约为 300 米。,空,,
附近有什么推荐景点吗？,好的。 附近的推荐景点会显示在导航屏幕上。,打开导航,,
确认车内的温度历史记录,确认温度履历。 显示汽车在过去时间段的温度履历。,显示汽车过去时间段的温度履历,,
显示全景,好的。 启动全景相机。 屏幕将显示在此处。,"启动同步模式,打开空调制热模式,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾出风口方向为吹脸+吹脚,设置副驾出风口方向为吹脸+吹脚,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,打开全景相机",,
告诉我拥堵状况,好的。 当前的拥堵状态显示在导航屏幕上。,打开导航,,
告诉我预计到达时间,好的。 预计到达时间显示在导航屏幕上。,打开导航,,
从车内可以看到的星空信息,这是从车内可以看到的星空信息。 让我们在导航屏幕上显示天文观测信息。,打开导航，设置空气循环模式为内循环,,
我想用语音备忘录录音,明白了。 开始录制语音备忘录。,开始录制语音备忘录。,,
切换到放松驾驶模式,好的。 我正在切换到放松驾驶模式。,"打开自动调温模式,设置主驾座椅通风模式1档,设置副驾座椅通风模式1档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为蓝色,播放舒缓音乐",,
调低后排座位的温度,好的。 将后座座位的空调设置为冷空调，将温度降低2度。,"设置主驾空调温度,设置副驾空调温度,降低2度",,
稍微打开天窗,稍微打开了天窗。 10%开放。,打开主驾车门，打开副驾车门，设置空调风速2档，前排调光玻璃调亮，设置氛围灯颜色为蓝色，打开天窗10%,,
引入室外空气,将空调设置为新风进气模式，以保持车内空气清新。,设置空气循环模式为外循环,,
净化车内空气,好的。 将空气净化器设置为高模式。,"打开PM2.5空气净化器,设置空调风速7档",,
播放放松音乐,好的。 播放放松音乐。,播放舒缓音乐，打开空调制热模式，设置主驾空调温度为26度，设置副驾空调温度为26度，设置空气循环模式为内循环，设置氛围灯颜色为蓝色,,
打开手边的灯,客户，灯经点亮。,打开位置灯,,
稍微改变一下香味,是的，我们会把它改成花香,"打开PM2.5空气净化器,设置空气循环模式为内循环,关闭空调制热模式,设置空调风速3档,设置氛围灯颜色为蓝色,设置氛围灯闪烁模式",,
在宽松的温度下,将空调设置在宽松的温度。 将是 22 度。,设置主驾空调温度，设置副驾空调温度，设置空调风速2档，设置氛围灯颜色为蓝色,,
后视镜略微向上倾斜,向上调整后视镜的角度。,"展开左后视镜,展开右后视镜",,
稍微放倒座椅靠背,好的。 稍微放倒座椅靠背。,"主驾座椅靠背往前调节,副驾座椅靠背往前调节",,
膝盖很冷,好的。 将脚下加热器设置为级别2。,设置主驾座椅加热模式2档,,
调整方向盘的位置,调整了转向的位置。 请看一看。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,关闭全部车窗",,
我想要安静地驾驶,好的。 在安静环境下开车。 调低音量，打开降噪功能。,关闭音乐，开启自动调温模式，设置空调风速1档，设置空气循环模式为内循环，设置氛围灯颜色为蓝色，设置空气循环模式为外循环,,
抑制您周围的灯光,好的。 将环境光设置为暗淡。,"设置空气循环模式为内循环,关闭全部车窗,设置氛围灯颜色为蓝色,设置空气循环模式为外循环,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾车窗为关闭,设置副驾车窗为关闭,设置后左车窗为关闭,设置后右车窗为关闭,设置氛围灯颜色为蓝色",,
靠背略微抬高,好的。 向上调整座椅高度,"副驾座椅往上调节,主驾座椅往上调节",,
提亮你的脚,好的。 增加脚的亮度。,"打开空调,关闭全部车窗,设置主驾出风口方向为吹脚,设置副驾出风口方向为吹脚,设置氛围灯颜色为蓝色",,
将灯光色调更改为蓝色,好的。 将氛围灯更改为蓝色。,设置氛围灯颜色为蓝色,,
重置音频设置,好的。 将音频设置恢复为默认值。,停止音乐，播放舒缓音乐，默认情况下播放流行音乐,,
关闭后排座椅加热,好的。 关闭后排座椅的座椅加热功能。,关闭副驾座椅加热模式,,
稍微加热座椅,好的。 在低温下打开座椅加热器。,"打开主驾座椅加热模式1档,打开副驾座椅加热模式1档",,
与前车保持距离,是的，我们将与前车保持距离。,"打开自动调温模式,设置空气循环模式为内循环",,
开启夜间安全辅助,我打开了夜间驾驶支持。 夜间驾驶时，自动大灯和雾灯等安全辅助功能会启动。,"打开自动调温模式,设置主驾空调温度为26度,设置副驾空调温度为26度,打开远光灯,打开位置灯,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,设置氛围灯闪烁模式",,
开启急转弯警告模式,好的。 开启急转弯警告模式。,"开启同步模式,打开方向盘加热",,
左侧有障碍物吗？,我们目前正在确认左侧是否有障碍物。,"展开左后视镜,折叠左后视镜,展开左后视镜",,
车道保持,我们将继续进行车道保持。,"打开导航,启动同步模式",,
开启防撞提醒,好的。 开启 Collision Avoidance Alert。 我们将帮助您安全驾驶。,开启碰撞预警系统,,
我想即使在黑暗的道路上也能确保能见度。,尊敬的乘客： 我将大灯的亮度设置为最大。 这将确保即使在黑暗的道路上也能看到。,打开远光灯,,
与后方车辆保持距离,好的。 启用后方车辆警报。,"启用同步模式,打开PM2.5空气净化器",,
调整后视镜,后视镜的角度自动调整。,折叠左后视镜，折叠右后视镜,,
在弯道中保持稳定,为了保持弯道的稳定性，启动了车辆稳定性控制系统。,启动同步模式,,
激活座椅位置传感器,打开座椅位置传感器。,"打开主驾座椅位置传感器,打开副驾座椅位置传感器",,
能见度差,好的。 打开视觉辅助系统。,"打开同步模式,启动同步模式",,
在上下车时启用辅助,上下车辅助激活。 当门打开和关闭时，它会自动提供帮助。,打开主驾车门，关闭主驾车门，打开副驾车门，关闭副驾车门,,
检测侧面的障碍物,好的。 启用检测侧面障碍物的功能。,"开启同步模式,启动自动调温模式,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭氛围灯,打开位置灯",,
长途驾驶的疲劳监测,打开驾驶员疲劳监视器。 它在驾驶时监控驾驶员的疲劳状态，并在必要时提供休息和警报。,"开启同步模式,启动驾驶员疲劳监视器功能",,
显示到目的地的剩余距离,好的。 到目的地的剩余距离显示在导航屏幕上。,打开导航,,
切换到高速模式,好的，我经切换到快速模式。,"启动同步模式,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,打开PM2.5空气净化器,关闭氛围灯,设置氛围灯颜色为蓝色",,
确认电池电量,电池电量为 60%。 目前的续航里程约为 300 公里。,充电至60%，导航到目的地,,
获取行车记录,好的。 开启行车记录功能。,"启动同步模式,打开空调",,
搜索停车场,好的。 搜索停车区域并将其显示在导航屏幕上。,打开导航,,
将车速表更改为数字显示,是的，我改用了数字形式仪表显示。,"设置空气循环模式为内循环,关闭同步模式,打开空调制热模式,设置主驾空调温度26度,设置副驾空调温度26度,设置主驾车窗关闭,设置副驾车窗关闭,设置后排调光玻璃调亮,设置氛围灯颜色为蓝色",,
确认目的地的天气预报,好的。 目的地的天气预报显示在导航屏幕上。,打开导航,,
调整车内湿度,好的。 开启空调的除湿模式。,"打开空调,关闭空调制热模式,设置空调风速1档",,
将副驾驶的温度降低 1 度,好的。 将副驾驶空间的空调降低 1 度。,设置副驾空调温度,,
节能模式行车路线,好的。 打开节能导航模式。,"打开导航,启动同步模式",,
查看最新的导航地图,好的。 刷新地图数据并将其显示在导航屏幕上。,"打开导航,刷新地图数据",,
搜索附近的咖啡馆,好的。 搜索附近的咖啡馆并将其显示在导航屏幕上。,打开导航，搜索附近咖啡馆,,
提出提高燃油经济性的方法,是的，我们建议提高燃油经济性的方法。 首先，让我们检查一下汽车的保养。 胎压和换油是否正确？,打开导航，设置空调温度为26度，关闭同步模式，设置空气循环模式为内循环,,
在自动驾驶模式下,开启自动驾驶模式。 为确保安全驾驶，请坐在驾驶座上。,打开同步模式，关闭全部车窗，关闭远光灯，关闭近光灯，关闭位置灯，设置主驾空调温度为26度，设置副驾空调温度为26度，设置空气循环模式为内循环，关闭氛围灯，导航到目的地,,
显示到目的地的剩余时间,好的。 到达目的地的剩余时间显示在导航屏幕上。,打开导航,,
显示汽车的行驶状态,好的。 在显示器上显示驾驶信息。,"打开导航,在显示器上显示驾驶信息",,
查看本周的驾驶次数,好的。 查看您本周驾驶的次数,"打开PM2.5空气净化器,关闭全部车窗,空调设置为制冷模式,空调风速调整为二档,设置氛围灯颜色为蓝色",,
显示道路的坡度,好的。 在导航屏幕上显示道路的坡度信息,"打开导航,设置同步模式",,
调整导航屏幕的对比度,难看吗？ 它会自动调整导航屏幕的对比度。,"关闭同步模式,打开空调制热模式,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,导航",,
调整后排座椅的空调,好的。 我们将调整后排座椅的空调。,"设置副驾空调温度,设置主驾空调温度",,
关闭导航仪的语音导航,好的。 关闭导航中的语音导航。,"停止音乐,关闭同步模式",,
告诉我你今天开车时燃烧了多少卡路里,今天开车燃烧的卡路里约为 500 大卡。,"关闭全部车窗,打开空调,设置主驾座椅通风模式1档,设置副驾座椅通风模式1档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,播放舒缓音乐",,
根据行车路线显示温度,显示路途中的温度数据的功能目前正在开发中。 感谢您的理解。,"关闭PM2.5空气净化器,打开空调,设置空调风速3档,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭氛围灯",,
显示交通拥堵预测,好的。 交通拥堵预报显示在导航屏幕上。,打开导航,,
到下一个充电点的距离,好的。 到下一个充电点的距离显示在导航屏幕上。,打开导航,,
查找可以吃饭的地方,好的。 搜索可以用餐的地方，并在导航屏幕上显示。,打开导航,,
自动调节车速,好的。 设置巡航控制。,"启动同步模式,打开空调,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档",,
分屏显示导航,是分屏视图吗？ 将导航和音频屏幕切换到分屏视图。,打开导航，播放舒缓音乐,,
查看过去的驾驶时间,显示驾驶历史数据。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,导航到目的地",,
告诉我解决交通拥堵需要多长时间。,好的。 交通拥堵预测数据显示在导航屏幕上。,打开导航,,
显示到红绿灯的距离,好的。 到红绿灯的距离显示在导航屏幕上。,打开导航,,
将空调调至节能模式,好的。 将空调切换到节能模式。,打开自动调温模式,,
根据室外温度设置空调。,好的。 自动调整空调设置以匹配外部温度,自动调温模式，关闭同步模式，设置主驾空调温度为26度，设置副驾空调温度为26度，设置空气循环模式为内循环，设置氛围灯颜色为蓝色,,
修复了地图的方向,好的。 让我们将地图的方向固定为北方。,"导航到目的地,设置地图方向为北方",,
开车时需要注意哪些要点？,您需要有关安全驾驶的建议。 首先，查看路况、天气等，并以适当的速度行驶。 此外，变道时请提前确认，必要时使用信号指示灯。 如果您想要任何其他建议，请告诉我。,"查看路况,保持安全距离,使用信号灯变道,根据天气调整速度",,
抬高座椅位置,好的。 将座椅略微调高。,"副驾座椅往上调节,主驾座椅往上调节",,
清洁挡风玻璃,我们会将清洗液喷洒在挡风玻璃上，所以请稍等片刻。,"前雨刷低速摆动,清洗液喷洒在挡风玻璃上",,
关闭后座的音乐,好的。 关闭后座的音乐。,停止音乐,,
发动机噪音很大,我将发动机模式设置为静音模式。,设置发动机模式为静音模式,,
坐垫请调成柔软一些,设置成柔软的座垫,"打开主驾座椅按摩,打开副驾座椅按摩",,
饮料制冷,好的。 打开杯架制冷功能。,打开杯架制冷功能,,
加强副驾驶座位的空调,好的。 将副驾驶座位空调开得更强,"打开副驾座椅自动通风加热, 设置副驾空调温度, 设置空调风速5档",,
放大显示导航,好的。 放大导航屏幕。,打开导航，启动同步模式,,
让大自然的声音播放，放松身心,好的。 播放大自然的声音。,播放舒缓音乐，设置氛围灯颜色为蓝色,,
稍微打开窗口,窗户可以打开，但只能打开 5 厘米。,"打开主驾车窗1厘米,打开副驾车窗1厘米,设置空调风速2档,设置氛围灯颜色为蓝色",,
将车内的灯调成暖色调,明白了。 将环境光更改为较暖的色调。,设置氛围灯颜色为黄色,,
增加车内的湿度,您可以将车内的湿度设置为舒适模式，请享受舒适的驾驶环境。,"设置空气循环模式为内循环,打开空调制热模式,设置主驾座椅自动通风加热,设置副驾座椅自动通风加热,关闭窗户,设置氛围灯颜色为蓝色,设置空调风速1档",,
将后座的温度设成放松模式,将后排座椅的温度设置为放松模式。 空调设置为 22 度。,"设置主驾空调温度,设置副驾空调温度,设置主驾空调温度为22度",,
加热驾驶座,好的。 打开驾驶员座椅加热器。,设置主驾座椅加热模式1档,,
调整大灯的亮度,好的。 将大灯的亮度设置为 70%。,设置大灯亮度为70%,,
调整扶手,好的，把扶手往上移一点。,副驾座椅往上调节,,
增强香气,把香氛扩散器设定为强模式,打开香氛扩散器强模式,,
保持恒定的室内温度,好的。 将空调设置为自动模式以保持恒定的室内温度。,打开自动调温模式,,
上车时打开脚灯,好的。 将脚灯设置为在上车时自动打开。,打开位置灯,,
设定为适合驾驶的温度,好的。 将空调设置为 20 度。,"设置主驾空调温度, 设置副驾空调温度",,
降低挡风玻璃遮阳帘,好的。 降低前遮阳帘。,前排调光玻璃调暗,,
降低遮阳帘,要降低遮阳帘，首先在汽车天花板上寻找开关。,前排调光玻璃调暗，后排调光玻璃调暗,,
将车内灯设置为自动模式,设定车内灯的自动模式。,"设置空气循环模式为内循环,打开空调制热模式,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾车窗关闭,设置副驾车窗关闭,设置后左车窗关闭,设置后右车窗关闭,设置氛围灯颜色为蓝色",,
加湿模式,好的。 我把它设定为加湿模式,"打开PM2.5空气净化器,设置空气循环模式为内循环",,
仅前排座椅播放音频,好的。 仅为前排座椅播放音频。 关闭后座扬声器。,关闭后右车窗，关闭后左车窗，停止音乐，播放舒缓音乐，关闭副驾座椅按摩，关闭主驾座椅按摩,,
提早打开后灯,好的。 提前打开后灯,打开位置灯,,
不要让车内温度降得太低,好的。 将车内温度保持在 22 度,"打开空调,设置主驾空调温度为22度,设置副驾空调温度为22度,关闭自动调温模式,设置空气循环模式为内循环",,
天气不好，所以要安全驾驶。,当天气不好时，我会尽量安全驾驶。 它增强了牵引力控制并保持汽车稳定。,"开启同步模式,关闭自动调温模式,设置空调风速2档,启动同步模式,设置空气循环模式为内循环,关闭位置灯,打开前雨刷间歇摆动,主驾座椅往后调节,副驾座椅往后调节,折叠左后视镜,折叠右后视镜",,
提早刹车,制动辅助设置为早期反应模式。 为了安全驾驶，建议提前踩刹车。,"启动同步模式,设置空调风速2档,关闭自动调温模式,打开方向盘加热,设置主驾座椅通风模式1档,设置副驾座椅通风模式1档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
振动幅度太大,它打开主动悬架系统，从而减少汽车的晃动。,打开同步模式,,
检查停止时的安全性,驻车辅助传感器激活。 检查周围环境以安全停车。,"启动同步模式,关闭同步模式",,
牢牢握住手柄,增强方向盘辅助。 我们将支持安全驾驶。,打开方向盘加热,,
很难看到，所以把大灯调高。,好的。 设置大灯的向上角度。,"设置主驾出风口方向为除霜,设置副驾出风口方向为除霜",,
雨下得很大，所以要小心。,好的。 根据天气信息，自动雨刷器的速度会提高。,前雨刷高速摆动,,
尽量早点停止,好的。 启用 Collision Avoidance Assist。 为了安全驾驶，我们将调整车辆以提前停车。,"启用碰撞避免辅助系统,关闭空调风扇,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档",,
可以看到远处的车辆。,启动远感相机。,打开远光灯,,
减少车辆晃动,我会暂时站出来。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
避免路面积水,好的。 打开 Puddle Detection Assist。,"打开同步模式,启动同步模式",,
关闭后视摄像头,好的。 关闭后置摄像头,关闭后置摄像头,,
注意速度的变化,嗨，我打开了速度调节辅助。,"开启同步模式,设置空调风速1档",,
我需要节能驾驶相关的建议。,我们将展示环保驾驶指南。 将其设置为节能模式可提高燃油经济性。 此外，汽车的速度和加速度会有所调整，因此请注意安全驾驶。,"启动同步模式,设置空调风速1档,关闭主驾座椅加热模式,关闭副驾座椅加热模式,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
关闭车载娱乐系统,好的。 关闭车载娱乐系统。,停止音乐,,
到达目的地后自动关闭发动机,通过设置发动机关闭计时器，可以实现到达目的地后自动停止发动机的设置。,设置发动机关闭计时器,,
显示到附近充电点的距离,好的。 到附近充电点的距离显示在导航屏幕上。,打开导航,,
什么时候需要更换电池？,好的。 了解何时该更换电池。,"打开PM2.5空气净化器,启动同步模式,打开空调,设置空调风速3档,设置主驾空调温度为26度,设置副驾空调温度为26度,设置主驾出风口方向为吹脸+吹脚,设置副驾出风口方向为吹脸+吹脚,设置空气循环模式为内循环,关闭氛围灯,打开远光灯,前雨刷低速摆动,打开主驾车窗,主驾座椅往前调节,主驾座椅往上调节,主驾座椅靠背往后调节,打开主驾座椅按摩,关闭主驾车门,展开左后视镜,导航",,
查看历史燃油经济性数据,好的。 显示历史油耗数据。,打开导航，显示历史油耗数据。,,
请添加途径地,要添加途径地，请首先检查您当前的路线，然后指定要添加的途径地。,打开导航，添加途径地：星巴克（假设目的地是家）,,
显示到您家的距离,好的。 到家的距离显示在导航屏幕上。,打开导航,,
增强型驾驶辅助,设置辅助功能的增强模式。 增加驾驶时的支持。,"打开PM2.5空气净化器,启动同步模式,打开空调,设置空调风速3档,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭全部车窗,设置氛围灯颜色为蓝色,打开自动调温模式,设置主驾座椅通风模式1档,设置主驾座椅加热模式1档,设置副驾座椅通风模式1档,设置副驾座椅加热模式1档,打开主驾车门,打开副驾车门,导航",,
获取最新的交通信息,好的。 获取最新的交通信息，并在导航屏幕上显示到您家的距离。,打开导航，获取最新交通信息,,
查看您当前的位置以与家人共享,您的位置信息将发送给您的家庭成员，以显示您的位置以便与他们共享。,打开导航,,
我想预订停车位,打开停车预订系统。 您想预订哪个停车场？,"打开停车预订系统,请问您想预订哪个停车场？",,
显示其他路线,好的。 在导航屏幕上显示一些备选路线。,打开导航，播放流行音乐,,
我希望你数一数信号的数量。,信号的数量？ 目前，有三个红绿灯。,打开导航,,
切换到正确的驾驶设置,好的。 调整 Eco 模式和空调设置。,"启动同步模式,关闭空调制热模式,设置空调风速2档,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,关闭氛围灯,打开自动调温模式,关闭同步模式",,
切换到手动操作,明白了。 关闭自动驾驶模式。,关闭同步模式,,
查看有关您的目的地的详细信息,好的。 在导航屏幕上显示有关目的地的详细信息。,打开导航,,
告诉我何时加油,您设置燃油油位警报。 当燃油不足时通知您。,"设置燃油油位警报,打开同步模式",,
分析您的驾驶风格,为了分析驾驶风格，有必要收集有关驾驶情况的数据。 请稍等片刻。,"打开导航,启动同步模式,设置空调风速2档,设置主驾空调温度26度,设置副驾空调温度26度,设置空气循环模式为内循环,关闭氛围灯,播放舒缓音乐,前排调光玻璃调暗,后排调光玻璃调暗",,
将其置于远程模式,好的。 切换到远程模式。 打开 Eco 模式和 Cruise Control（巡航控制）。,"启动同步模式,打开 Eco 模式,开启 Cruise Control（巡航控制）",,
显示一段时间内的电池消耗,显示一段时间内的电池消耗。,"打开PM2.5空气净化器,关闭空调,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,播放舒缓音乐,前排调光玻璃调暗,后排调光玻璃调暗",,
分析过去的驾驶记录,好的。 我们将分析过去的操作记录数据。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,关闭全部车窗",,
显示到下一个服务区的距离,好的。 到下一个服务区的距离显示在导航屏幕上。,打开导航,,
驻车后自动关闭发动机,好的。 将发动机设置为在停车后自动关闭。,设置发动机自动关闭功能，在停车后自动关闭，,,
查看目的地附近的汽油价格,好的。 汽油价格信息显示在导航系统中。,打开导航，汽油价格信息显示在导航系统中。,,
在驾驶时设置休息提醒,好的，设置每1小时一次的休息提醒。,设置同步模式，关闭同步模式，每1小时发送一次通知提醒,,
稍微提高脚下的温度。,好的。 将脚下的温度提高 1 度。,"设置主驾座椅加热模式1档,设置副驾座椅加热模式1档",,
防止犯困，通风换气,好的。 切换到新鲜空气进气模式，换气后，让您感觉更舒服。,"打开PM2.5空气净化器,启动同步模式,设置空气循环模式为外循环",,
脑袋想凉快一下,将空调设置为将空气方向朝向您的头部。,"设置主驾出风口方向为吹脸,设置副驾出风口方向为吹脸",,
让照明变得朦胧一些,灯光经设置成朦胧的了。,设置氛围灯闪烁模式,,
太亮了，调暗一点。,好的。 将环境光设置为 50%。,"设置空气循环模式为内循环,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置氛围灯颜色为蓝色,设置环境光为50%",,
设一小会儿提神模式,好的。 将其设置为提神模式。 空调更改为凉爽微风模式，香味更改为清新。,"打开空调,设置空调风速1档,关闭车窗,设置氛围灯颜色为蓝色,设置空气香味为清新",,
略微减弱后排座椅的空调,好的。 后排座椅的空调略有减弱。,"设置副驾空调温度,设置主驾空调温度降低一档",,
降低放松音乐的音量,将放松音乐的音量降低两个级别。,播放舒缓音乐，设置音乐音量1档,,
将空调置于自动调节模式,切换到自动调整模式,"打开自动调温模式,设置空气循环模式为内循环",,
